customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineBackup,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,numAdminTickets,numTechTickets,Churn,ln_TotalCharges,gender_encoded,Partner_encoded,PhoneService_encoded,StreamingMovies_encoded,PaperlessBilling_encoded,Churn_encoded,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,calls_count,InternetService_DSL,InternetService_Fiber optic,InternetService_No,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,Yes,No,No,Month-to-month,Yes,29.85,29.85,0,0,No,3.4291367503513968,0,1,0,0,1,0,1,0,0,1.0,1,0,0,1,0,0,1,0,0,0,0,1,0
5575-GNVDE,Male,0,No,No,34,Yes,No,No,No,No,One year,No,56.95,1889.5,0,0,No,7.544596623330987,1,0,1,0,0,0,0,0,1,1.0,1,0,0,0,0,1,1,0,0,0,0,0,1
3668-QPYBK,Male,0,No,No,2,Yes,No,Yes,No,No,Month-to-month,Yes,53.85,108.15,0,0,Yes,4.692723082995953,1,0,1,0,1,1,0,0,1,2.0,1,0,0,1,0,0,1,0,0,0,0,0,1
7795-CFOCW,Male,0,No,No,45,No,No phone service,No,No,No,One year,No,42.3,1840.75,0,3,No,7.518471485562923,1,0,0,0,0,0,0,0,1,1.0,1,0,0,0,0,1,0,0,1,1,0,0,0
9237-HQITU,Female,0,No,No,2,Yes,No,No,No,No,Month-to-month,Yes,70.7,151.65,0,0,Yes,5.028147719180887,0,0,1,0,1,1,1,0,0,1.0,0,1,0,1,0,0,1,0,0,0,0,1,0
9305-CDSKC,Female,0,No,No,8,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,99.65,820.5,0,0,Yes,6.711131937477322,0,0,1,2,1,1,1,0,0,1.0,0,1,0,0,0,1,1,0,0,0,0,1,0
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,89.1,1949.4,0,0,No,7.575789758727007,1,0,1,0,1,0,1,0,0,0.0,0,1,0,1,0,0,1,0,0,0,1,0,0
6713-OKOMC,Female,0,No,No,10,No,No phone service,No,No,No,Month-to-month,No,29.75,301.9,0,0,No,5.713402718033191,0,0,0,0,0,0,0,0,1,1.0,1,0,0,1,0,0,1,0,0,0,0,0,1
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,104.8,3046.05,0,2,Yes,8.02192918843427,0,1,1,2,1,1,1,0,0,2.0,0,1,0,0,0,1,0,0,1,0,0,1,0
6388-TABGU,Male,0,No,Yes,62,Yes,No,Yes,No,No,One year,No,56.15,3487.95,0,0,No,8.15735611033029,1,0,1,0,0,0,0,0,1,1.0,1,0,0,1,0,0,1,0,0,1,0,0,0
